26.55,16.97,55.77,15.43,94.95,18.49,91.75,94.46
89.98,76.22,47.98,0.58,82.00,19.74,28.10,31.57
97.28,93.89,68.03,72.97,73.86,44.07,21.28,23.93
63.80,53.59,89.07,59.36,93.35,98.89,39.51,8.11
21.76,19.47,65.26,57.93,20.46,12.94,9.48,67.80
47.87,23.00,68.45,15.55,59.58,98.41,69.58,0.92
66.21,31.45,61.60,0.03,80.89,35.26,81.73,64.27
10.38,50.57,55.36,99.76,9.84,82.11,21.73,91.68
55.68,49.77,61.70,40.10,48.73,31.15,28.87,55.61
1.85,82.92,4.45,60.07,3.16,16.67,20.02,54.62
18.67,40.12,81.99,18.07,99.61,86.12,11.27,50.58
37.86,22.98,6.69,97.33,80.18,26.62,99.44,80.93
20.57,92.48,98.49,10.93,28.84,48.89,98.27,0.60
7.32,53.14,43.34,61.42,7.37,79.30,30.57,9.82
70.67,54.95,52.51,88.05,81.34,81.75,73.54,0.17
90.55,56.13,14.45,12.83,68.42,19.85,83.81,63.39
