6.09,10.93,41.60,25.05
76.01,76.92,33.43,95.12
67.05,28.16,21.97,87.57
61.75,43.40,93.16,88.61
81.97,89.73,13.69,63.26
55.90,73.05,27.64,10.52
18.01,19.07,38.39,32.95
83.61,98.37,3.49,72.36
19.53,2.03,0.51,38.57
31.04,70.00,40.18,41.02
9.15,88.51,36.03,36.16
31.75,39.13,2.52,69.38
86.41,44.19,2.86,83.97
82.71,28.47,49.98,67.03
92.67,14.48,33.89,78.20
78.80,38.58,30.56,27.96
28.54,7.63,93.06,12.07
37.02,91.18,4.86,72.58
15.75,34.36,41.11,67.35
13.11,45.78,44.69,43.24
66.93,31.94,48.63,69.22
48.89,6.15,10.04,21.74
97.17,71.42,94.02,99.83
52.77,51.99,41.43,11.71
71.52,56.17,1.63,57.87
74.11,96.07,56.53,63.64
93.22,41.39,88.28,59.00
95.72,20.99,95.46,19.22
99.05,37.55,82.29,84.49
93.11,59.61,98.08,10.46
51.44,53.77,15.87,18.75
33.08,55.84,60.44,14.33
