21.70,41.82
7.09,88.72
43.25,20.03
49.37,85.92
69.69,17.21
32.60,70.95
0.04,97.40
7.46,9.25
47.37,9.55
7.06,52.69
83.99,15.24
22.98,41.68
14.73,61.39
60.00,16.40
36.59,65.59
95.23,47.43
14.86,11.91
54.04,43.62
43.01,44.97
41.59,2.92
7.24,67.70
73.42,39.16
12.47,73.29
67.52,45.65
80.46,10.00
70.31,69.26
95.46,59.14
7.20,93.64
17.40,97.71
16.93,18.27
6.19,81.87
51.36,84.77
49.21,67.82
45.26,57.91
20.77,76.96
71.88,43.15
50.56,1.18
64.13,3.91
62.53,63.47
70.91,56.28
70.52,73.56
73.86,93.80
14.32,54.29
56.08,59.91
21.45,1.50
49.24,2.27
35.51,87.42
0.99,33.31
69.52,97.18
97.76,59.82
67.02,3.88
96.34,28.51
80.04,88.25
3.29,27.84
36.63,86.22
91.41,69.31
44.34,86.44
71.47,67.22
58.26,21.59
80.44,30.73
25.38,1.15
8.48,45.30
22.46,88.63
48.98,98.21
62.04,64.96
84.59,77.61
17.34,90.97
90.98,72.32
59.01,73.82
23.45,58.13
6.53,15.06
16.81,92.00
79.64,85.21
65.38,78.56
13.13,36.85
86.52,62.05
89.62,78.10
17.80,64.88
22.56,90.19
79.00,78.27
49.78,87.22
96.43,35.37
72.99,78.86
45.26,54.62
33.51,54.38
70.35,29.62
56.64,52.93
91.08,33.04
82.65,79.31
96.33,62.69
11.11,51.03
71.50,93.23
70.63,19.30
26.34,52.78
76.50,47.76
27.85,68.18
95.95,43.37
65.44,9.96
8.23,89.19
41.68,62.14
11.88,47.50
74.12,74.53
33.75,62.57
46.44,7.79
55.88,82.75
38.12,75.44
36.69,1.59
0.95,87.66
40.17,14.45
12.82,75.39
14.88,25.02
63.15,76.49
47.89,61.98
72.23,55.06
11.47,33.27
20.22,24.93
41.16,25.09
5.29,67.74
35.04,78.61
86.79,74.08
52.49,62.62
89.58,36.09
0.08,63.31
81.14,88.21
63.92,47.95
40.73,46.76
42.38,81.76
70.65,52.57
