77.66,78.85,38.94,47.15,14.80,13.10,63.01,44.20,62.28,25.52,60.83,98.37,18.69,84.74,65.71,12.72,53.53,34.38,90.33,3.06,55.84,25.59,15.12,89.96,54.80,62.80,7.21,98.02,92.32,53.20,30.66,24.68
79.66,29.05,35.38,81.64,52.59,20.42,75.63,90.03,4.21,25.13,82.91,32.96,22.18,39.56,37.29,76.30,44.69,14.95,20.37,73.82,41.43,87.91,98.81,6.10,24.88,83.16,50.99,25.22,46.61,63.40,91.34,75.08
1.67,27.52,10.84,18.58,91.87,4.90,36.49,84.70,30.72,21.06,96.17,89.32,27.60,88.93,84.51,99.75,53.83,90.37,94.46,14.85,88.50,16.73,25.08,49.05,5.41,39.69,12.51,12.91,0.35,68.36,76.61,2.72
10.20,58.33,71.15,6.20,72.29,50.78,1.89,32.70,57.25,13.91,4.40,51.27,94.64,41.84,82.91,32.09,55.51,7.66,1.41,20.51,25.59,42.85,31.63,37.94,41.16,96.36,51.89,80.17,4.81,55.45,5.20,73.34
48.01,37.95,0.55,72.38,91.40,77.75,72.04,81.97,91.82,79.11,51.88,65.20,22.90,38.69,41.78,50.95,82.46,47.75,62.68,90.18,81.67,86.69,37.30,10.22,95.93,97.36,0.48,39.13,66.66,45.88,45.75,14.64
15.75,28.69,6.39,76.40,78.50,47.51,79.03,25.89,11.75,7.30,61.82,66.30,12.51,28.35,20.53,12.38,27.69,50.08,62.43,8.85,57.14,84.49,3.35,72.58,60.57,10.62,93.19,10.99,55.19,42.79,52.40,66.34
29.36,6.69,94.60,6.20,58.05,71.36,6.42,47.32,9.56,75.88,51.45,67.31,31.84,93.72,52.71,59.44,42.69,19.67,22.64,65.81,12.00,7.70,59.78,62.52,1.96,47.77,73.45,26.99,40.91,49.91,97.07,32.44
70.66,64.16,99.82,94.24,42.72,40.66,57.40,1.83,50.46,98.44,51.60,25.50,47.37,77.95,35.29,25.67,69.36,88.55,91.39,3.05,54.65,85.65,51.98,17.60,83.07,93.11,34.34,12.70,70.35,6.78,76.68,54.82
29.82,74.09,95.10,39.29,52.03,49.76,39.57,93.44,63.93,42.56,30.09,5.81,9.69,79.09,78.64,58.00,6.66,71.63,79.37,32.43,59.25,80.49,14.93,38.41,95.89,86.51,19.00,10.45,51.62,79.57,85.50,40.30
6.63,48.29,15.67,75.61,23.03,16.05,97.83,9.44,19.27,38.87,65.87,56.76,66.81,74.39,86.96,79.32,84.91,76.72,54.85,22.94,66.48,61.89,72.71,23.47,11.24,42.53,42.48,3.94,48.16,32.99,66.92,29.22
64.14,38.02,67.13,62.06,87.72,10.68,99.26,72.91,18.52,24.05,40.07,26.81,67.58,34.66,50.19,32.29,30.23,58.96,73.45,48.40,23.73,46.45,18.00,78.21,61.99,86.87,13.38,37.35,75.28,56.55,38.32,48.77
81.40,94.04,83.89,39.29,72.50,66.58,25.99,11.76,34.74,82.11,52.93,40.33,72.92,55.27,42.17,73.47,71.95,33.54,25.73,55.72,58.09,3.77,53.90,7.71,79.51,44.94,10.43,20.98,71.97,58.03,17.41,61.02
66.43,7.18,98.00,70.94,38.54,48.24,91.43,73.45,57.88,89.70,37.97,24.50,11.69,87.63,34.88,42.89,15.28,49.29,52.44,39.28,14.57,67.99,7.17,98.83,1.51,56.93,48.79,80.44,10.08,68.86,36.67,23.34
80.88,93.96,10.01,28.55,55.36,24.92,57.92,60.91,99.38,14.75,77.22,87.99,54.06,91.15,49.05,5.90,21.01,92.32,32.98,67.08,10.85,39.53,54.67,41.70,32.77,16.27,25.43,89.93,11.64,78.62,2.96,25.90
67.00,42.49,60.81,33.73,39.42,34.73,93.05,19.77,91.18,53.70,34.65,79.09,80.67,60.47,21.86,7.24,90.13,19.06,3.57,60.60,86.29,44.73,38.26,61.61,7.63,22.38,45.00,93.99,47.92,3.18,62.19,44.89
43.21,17.64,76.58,26.47,23.52,24.89,73.30,75.54,2.15,51.17,69.67,64.64,82.82,41.13,80.73,50.01,39.44,5.74,63.16,79.96,27.63,58.44,82.88,75.11,77.63,89.58,72.78,92.06,6.16,81.52,49.43,70.78
12.24,73.49,33.44,42.58,38.64,54.49,70.05,63.30,83.01,12.54,43.90,66.96,16.80,66.51,10.84,52.80,11.68,60.04,2.21,10.53,15.42,15.42,71.29,1.91,56.91,51.22,21.83,96.97,82.15,42.90,0.88,39.09
61.06,70.51,88.44,82.56,44.01,53.31,53.29,70.10,11.57,96.39,42.99,76.37,29.38,12.71,55.45,16.41,4.18,16.76,44.07,35.87,88.87,45.36,24.60,59.74,11.43,31.17,47.66,42.91,95.96,30.12,95.66,70.14
61.46,25.46,98.97,12.73,96.72,11.45,98.54,4.98,16.84,91.75,56.42,44.50,38.70,97.03,96.29,69.97,38.53,64.78,51.64,39.36,32.40,75.83,93.79,61.16,95.80,86.19,31.93,4.30,16.05,29.68,29.16,50.36
47.76,19.57,99.31,35.90,88.07,25.34,34.03,88.36,96.71,1.82,97.22,80.53,61.34,70.88,33.35,73.93,93.71,37.55,13.83,16.46,21.06,96.50,89.35,22.45,80.79,29.69,93.15,13.89,81.18,97.66,39.72,0.94
26.82,31.17,96.12,3.77,60.89,54.35,49.62,22.35,63.19,2.65,28.80,4.18,75.95,24.60,74.66,10.21,90.11,23.33,34.03,91.69,51.20,37.74,1.15,40.98,92.25,11.71,87.19,60.02,84.70,7.96,70.01,28.79
75.02,93.05,11.00,31.59,52.66,56.51,52.68,49.92,22.92,58.17,40.18,27.26,41.66,81.34,96.31,24.96,12.17,10.89,79.89,42.02,92.81,98.34,34.63,9.12,89.19,83.55,49.63,96.26,55.36,71.66,74.06,89.14
28.93,71.23,41.72,13.36,4.57,26.72,32.50,9.66,98.69,29.68,97.28,60.71,53.61,15.57,73.75,62.34,39.44,29.64,82.14,30.37,58.41,92.35,96.40,94.17,88.14,58.94,39.85,19.40,17.42,6.61,92.45,18.66
36.12,9.39,70.07,45.71,53.46,5.88,74.38,60.47,36.59,6.58,10.04,37.30,27.04,78.16,24.89,95.70,94.29,89.05,48.85,18.87,70.97,11.09,80.70,27.76,79.74,15.75,62.84,2.48,86.85,96.14,87.94,22.70
64.19,49.00,94.22,91.36,14.13,87.79,71.18,41.37,98.01,58.83,79.92,19.83,84.36,49.78,70.96,8.15,95.51,56.36,6.62,62.55,24.35,91.20,33.62,16.51,29.73,44.24,54.90,20.92,62.84,97.05,58.11,67.82
80.85,48.57,61.69,97.98,17.55,61.45,64.07,98.10,12.23,95.19,82.87,41.11,29.20,32.10,60.42,77.82,37.16,99.82,56.61,53.89,35.72,96.99,52.37,40.11,54.46,53.06,71.56,26.57,22.79,47.32,90.68,3.58
58.44,13.21,92.94,38.82,37.31,1.29,74.02,66.37,59.90,29.09,94.38,68.82,69.80,22.31,38.90,1.97,32.30,97.14,98.44,89.41,55.34,60.10,62.46,61.56,36.53,86.73,16.53,13.02,77.73,99.01,74.45,22.94
7.61,73.49,68.53,40.29,53.48,54.26,83.51,20.62,99.01,30.10,7.08,14.89,8.15,94.59,31.41,69.79,52.03,89.08,88.84,28.05,4.26,11.48,14.24,49.21,88.31,31.34,53.63,67.26,43.65,71.96,67.35,85.97
19.11,64.39,6.10,1.27,93.74,37.39,90.36,34.21,95.23,61.96,80.87,0.33,46.35,27.67,8.87,84.83,4.98,60.91,34.97,38.83,67.02,29.09,54.97,36.98,53.40,32.63,43.42,72.34,40.61,6.62,56.14,75.80
71.37,2.40,77.60,78.81,23.80,1.68,72.50,16.29,10.89,68.39,3.22,43.34,24.21,35.24,58.09,38.51,67.56,50.50,10.19,5.41,49.65,36.10,39.01,79.80,14.11,74.61,39.35,2.49,94.79,16.25,21.96,67.96
