30.12,0.53,66.40,10.89
20.62,58.04,81.20,5.86
19.10,67.44,25.68,0.43
9.32,93.70,76.22,16.40
7.80,48.03,99.83,30.63
57.79,84.93,62.07,31.78
40.68,48.06,68.31,8.88
36.08,97.87,19.46,31.74
5.83,96.87,91.45,23.49
45.16,36.19,45.33,35.12
12.37,72.60,32.27,81.57
95.12,77.26,82.47,90.29
54.07,16.99,70.62,98.91
86.47,97.86,2.89,75.84
54.02,47.59,80.49,13.12
44.56,24.24,4.52,97.12
28.50,5.37,78.92,88.79
82.74,12.59,52.14,50.03
22.70,27.23,39.22,85.35
23.86,49.26,51.53,94.41
78.48,8.58,21.85,97.58
24.66,11.93,52.53,43.50
92.83,82.71,44.44,78.25
97.36,44.17,66.20,23.84
95.19,22.31,58.10,86.53
67.80,1.95,17.37,31.24
52.33,27.36,51.03,43.24
80.25,70.15,30.61,40.51
30.80,27.00,55.84,25.04
51.06,46.67,88.65,2.70
37.94,43.73,1.57,3.09
78.42,62.21,52.03,68.66
92.49,41.87,40.81,99.06
55.06,50.67,51.74,51.74
9.38,72.24,33.52,44.62
83.17,86.75,52.34,37.60
65.09,85.36,44.49,45.14
26.92,30.31,32.22,53.87
49.34,59.69,50.21,15.84
44.35,40.88,80.30,60.06
10.87,6.69,77.94,74.09
55.01,46.70,61.47,62.27
20.81,80.12,0.73,32.88
70.36,15.22,18.08,54.33
99.92,36.24,47.32,83.14
27.97,0.06,15.49,32.86
18.17,30.73,61.95,82.93
43.50,38.26,48.76,54.97
2.21,39.86,94.63,74.77
41.13,18.29,88.54,28.05
76.84,6.11,87.71,82.34
36.92,81.81,88.44,38.35
61.34,25.65,91.21,72.61
52.61,71.43,32.66,80.71
62.74,28.51,17.91,71.25
72.82,85.14,42.10,85.20
9.77,35.17,3.13,55.63
44.05,38.07,58.31,84.08
26.39,16.13,55.46,92.34
19.52,9.80,49.85,63.18
0.28,72.91,83.25,12.68
40.44,20.70,7.16,70.94
70.45,73.39,18.21,27.83
12.61,9.72,47.23,28.35
