92.04,41.73,96.38,9.76
28.52,72.89,47.28,95.86
45.97,51.49,40.06,26.33
60.81,24.62,52.06,94.42
68.81,41.40,24.66,30.87
82.36,56.15,4.35,91.84
17.18,50.80,17.94,24.34
27.61,80.94,83.25,15.51
38.56,15.09,22.51,25.92
21.55,46.05,82.12,71.45
83.16,12.70,37.48,52.58
97.82,95.16,57.68,9.20
76.67,19.84,33.90,74.47
63.01,52.85,18.12,47.73
7.74,59.39,47.39,96.75
15.75,74.74,72.79,3.18
61.50,1.59,19.28,89.60
18.26,39.46,18.07,81.29
66.57,21.10,20.24,28.72
45.17,37.14,25.82,68.39
7.66,33.84,18.38,40.02
88.37,55.94,86.05,48.73
41.56,34.64,2.12,34.37
66.89,30.08,85.95,89.62
60.27,23.61,66.15,19.34
79.21,7.00,52.16,56.16
42.81,97.81,8.14,21.95
13.17,30.95,79.29,13.82
52.80,92.25,52.50,13.85
99.42,64.77,50.52,38.45
92.37,31.68,73.95,70.10
7.11,90.00,77.25,44.29
