0.86,0.19,0.32,0.06,0.45,0.45,0.76,0.46,0.81,0.46,0.40,0.41,0.25,0.68,0.67,0.65,0.13,0.96,0.09,0.21,0.01,0.93,0.91,0.54,0.01,0.15,0.36,0.84,0.33,0.16,0.06,0.51,0.88,0.51,0.79,0.83,0.03,0.53,0.49,0.63,0.66,0.73,0.76,0.72,0.88,0.93,0.72,0.35,0.21,0.22,0.86,0.10,0.18,0.10,0.52,0.14,0.96,0.55,0.04,0.81,0.19,0.79,0.38,0.26
0.63,0.73,0.81,0.02,0.41,0.76,0.82,0.67,0.76,0.31,0.63,0.61,0.89,0.19,0.90,0.13,0.84,0.44,0.09,0.87,0.23,0.92,0.22,0.87,0.62,0.96,0.44,0.84,0.59,0.08,0.25,0.74,0.95,0.29,0.50,0.68,0.25,0.03,0.54,0.74,0.17,0.25,0.99,0.31,0.47,0.46,0.82,0.63,0.87,0.82,0.76,0.09,0.53,0.21,0.79,0.96,0.18,0.01,0.60,0.41,0.15,0.47,0.28,0.78
0.34,0.43,0.27,0.48,0.37,0.06,0.24,0.91,0.88,0.49,0.01,0.18,0.84,0.35,0.00,0.16,0.70,0.37,0.58,0.43,0.06,0.89,0.59,0.39,0.36,0.78,0.39,0.74,0.95,0.34,0.97,0.61,0.12,0.15,0.70,0.58,0.98,0.17,0.90,0.21,0.41,0.85,0.28,0.15,0.36,0.90,0.98,0.76,0.82,0.39,0.63,0.98,0.52,0.33,0.65,0.89,0.46,0.91,0.01,0.37,0.06,0.90,0.91,0.18
0.07,0.14,0.59,0.35,0.43,0.80,0.87,0.21,0.54,0.27,0.68,0.04,0.26,0.53,0.45,0.38,0.01,0.16,0.33,0.47,0.66,0.13,0.04,0.28,0.27,0.86,0.51,0.59,0.77,0.06,1.00,0.24,0.77,0.17,0.43,0.70,0.97,0.85,0.99,0.39,0.94,0.15,0.37,0.68,0.91,0.30,0.74,0.91,0.41,0.67,0.45,0.52,0.97,0.26,0.63,0.69,0.63,0.80,0.10,0.07,0.30,0.50,0.48,0.74
0.57,0.48,0.70,0.30,0.05,0.96,0.30,0.35,0.60,0.45,0.61,0.97,0.05,0.03,0.51,0.46,0.44,0.87,1.00,0.34,0.16,0.47,0.47,0.17,0.34,0.61,0.90,0.65,0.43,0.58,0.89,0.33,0.80,0.95,0.22,0.95,0.13,0.43,0.30,0.97,0.98,0.01,0.25,0.13,0.23,0.96,0.40,0.70,0.96,0.38,0.35,0.50,0.01,0.34,0.34,0.61,0.44,0.59,0.37,0.02,0.07,0.60,0.44,0.27
0.71,0.31,0.49,0.68,0.79,0.67,0.13,0.93,0.60,0.86,0.61,0.14,0.85,0.12,0.58,0.91,0.46,0.35,0.78,0.01,0.71,0.26,0.32,0.74,0.88,0.74,0.47,0.77,0.61,0.89,0.11,0.86,0.84,0.21,0.62,0.95,0.77,0.29,0.07,0.94,0.25,0.82,0.84,0.15,0.28,0.52,0.28,0.26,0.68,0.48,0.77,0.61,0.60,0.96,0.09,0.63,0.31,0.33,0.23,0.72,0.44,0.26,0.89,0.97
0.43,0.12,0.55,0.66,0.57,0.15,0.24,0.44,0.04,0.44,0.40,0.51,0.91,0.07,0.05,0.90,0.66,0.54,0.26,0.80,0.44,0.97,0.16,0.50,0.40,0.15,0.87,0.98,0.92,0.94,0.07,0.14,0.69,0.74,0.16,0.05,0.21,0.22,0.22,0.55,0.21,0.52,0.63,0.53,0.42,0.59,0.27,0.73,0.42,0.52,0.30,0.89,0.49,0.47,0.25,0.95,0.09,0.03,0.85,0.14,0.51,0.02,0.09,0.80
0.03,0.87,0.23,0.10,0.22,0.08,0.31,0.79,0.46,0.65,0.40,0.37,0.48,0.56,0.73,0.68,0.88,0.84,0.81,0.60,0.90,0.96,0.37,0.72,0.18,0.94,0.04,0.37,0.63,0.12,0.77,0.66,0.32,0.98,0.50,0.37,0.89,0.33,0.69,0.41,0.42,0.42,0.46,0.18,0.75,0.26,0.15,0.55,0.69,0.40,0.20,0.99,0.04,0.97,0.29,0.20,0.14,0.98,0.40,0.98,0.60,0.66,0.97,0.69
0.62,0.16,0.24,0.05,0.40,0.51,0.14,0.59,0.54,0.98,0.01,0.76,0.12,0.46,0.96,0.64,0.49,0.31,0.26,0.85,0.15,0.07,0.17,0.94,0.58,0.50,0.85,0.09,0.96,0.57,0.66,0.17,0.12,0.32,0.15,0.24,0.39,0.15,0.02,0.07,0.23,0.99,0.86,0.78,0.30,0.89,0.62,0.59,0.79,0.58,0.59,0.43,0.21,0.41,0.34,0.68,0.62,0.79,0.08,0.18,0.02,0.19,0.42,0.54
0.66,0.92,0.13,0.20,0.29,0.96,0.69,0.85,0.08,0.38,0.83,0.18,0.62,0.01,0.80,0.85,0.67,0.26,0.77,0.61,0.07,0.97,0.05,0.82,0.99,0.23,0.14,0.40,0.64,0.13,0.86,0.99,0.63,0.79,0.88,0.59,0.07,0.67,0.83,0.90,0.69,0.22,0.74,0.49,0.24,0.34,0.22,0.98,0.50,0.18,0.93,0.29,0.80,0.14,0.66,0.93,0.83,0.55,0.69,0.88,0.61,0.67,0.23,0.66
