97.42,43.10,87.73,38.43,7.44,38.36,56.57,79.65,10.91,25.86,5.04,63.74,90.42,2.07,8.09,21.38
7.90,70.39,87.65,35.10,35.94,3.98,74.68,59.28,5.85,8.71,81.49,0.40,6.96,81.23,54.95,37.75
5.25,2.96,41.59,69.68,51.31,47.13,56.08,79.37,25.46,43.79,18.69,57.69,10.12,17.77,13.43,49.71
96.74,40.86,1.25,24.35,19.10,84.42,24.23,7.53,78.02,64.63,94.57,27.70,14.83,77.64,29.25,82.31
27.36,42.26,78.47,92.02,0.95,93.09,93.53,41.75,95.95,66.84,43.39,95.42,1.13,20.75,81.48,38.14
47.84,10.92,10.51,30.06,61.93,71.44,51.37,78.63,65.31,55.63,97.89,51.55,44.87,25.33,17.37,68.54
89.60,21.28,63.62,63.62,63.13,24.75,15.89,6.97,47.06,57.54,23.56,59.52,91.50,9.67,60.71,24.27
32.98,68.73,17.67,18.67,30.08,59.43,12.51,16.75,8.76,99.37,24.33,33.72,67.46,43.81,1.15,59.92
98.64,31.99,27.03,62.59,30.17,7.32,39.35,11.94,42.73,0.70,50.79,67.35,40.25,79.60,27.23,65.36
18.13,47.57,91.63,29.02,0.87,15.55,95.92,86.53,46.89,98.61,92.69,41.35,2.45,38.90,96.09,84.67
40.43,67.58,69.00,45.39,27.62,29.94,40.77,39.64,52.99,88.27,73.60,35.13,72.99,61.31,6.87,34.04
43.79,81.10,55.87,0.84,36.70,33.92,92.07,8.76,58.18,64.04,42.01,38.53,91.81,88.86,22.30,33.08
66.22,52.69,99.61,5.49,99.68,49.77,68.66,3.02,68.01,63.63,12.28,76.07,59.01,30.17,59.65,52.14
75.79,69.34,60.73,61.76,4.96,34.52,33.28,62.82,11.42,4.28,3.52,75.25,31.06,7.88,85.35,47.44
3.99,85.47,38.05,79.15,93.43,43.61,8.20,93.51,36.88,98.51,0.67,36.52,58.89,49.80,25.53,71.69
63.11,49.49,4.76,4.94,31.13,85.12,19.47,42.48,18.59,68.02,2.84,80.25,95.93,96.20,56.12,68.14
22.56,72.10,46.11,5.91,7.80,50.51,81.51,58.64,39.33,43.67,29.98,19.73,34.39,49.44,48.47,19.02
42.77,51.12,64.27,24.68,90.27,74.04,15.22,12.20,90.62,14.40,71.68,46.16,19.29,87.07,62.25,99.42
98.80,84.22,34.24,75.63,3.66,79.69,65.78,31.19,2.07,5.12,35.53,31.06,18.67,84.83,35.00,33.50
10.23,2.80,38.41,81.53,6.54,35.72,24.35,16.44,52.38,32.65,87.13,41.77,2.63,0.31,89.89,77.72
63.99,50.78,81.93,92.17,47.92,80.46,22.07,53.61,49.16,86.78,60.62,36.72,69.78,35.12,65.12,25.35
84.65,76.57,86.98,5.95,24.92,6.61,18.36,71.56,60.44,43.87,30.83,8.54,92.55,29.54,47.75,30.37
65.60,8.61,71.78,19.83,87.18,6.11,72.75,42.01,70.65,86.85,96.43,7.80,32.36,62.76,56.56,62.46
35.74,70.34,72.18,1.09,73.66,95.41,49.43,63.58,79.51,13.78,9.83,48.70,3.12,45.44,64.87,86.23
86.99,11.48,41.14,83.84,84.57,82.00,77.69,5.21,15.55,55.20,81.54,20.05,69.81,99.03,22.75,86.42
25.39,79.04,21.04,89.51,5.37,74.21,85.92,76.73,48.14,43.15,7.87,6.57,71.76,4.91,92.39,60.64
21.47,43.65,76.88,84.04,85.56,35.77,54.64,16.33,37.68,58.08,53.95,52.31,41.13,31.48,64.17,95.09
53.13,86.00,56.05,91.12,55.82,59.42,24.60,51.53,14.14,28.69,49.89,6.81,80.41,21.70,48.24,72.92
56.61,33.44,58.51,7.50,32.30,81.34,66.10,71.58,69.90,98.13,49.13,21.86,63.74,51.61,12.74,64.32
58.83,40.58,80.30,11.36,99.22,38.90,0.28,45.25,33.80,48.16,79.61,81.21,46.23,24.26,14.61,36.27
4.28,99.59,47.49,72.69,5.54,35.88,31.97,0.19,38.94,51.90,98.76,96.58,7.96,34.63,68.48,74.61
30.62,18.39,57.78,21.07,74.23,94.41,18.18,33.78,67.67,46.76,86.53,64.60,87.00,48.49,92.11,99.70
