66.37,92.52,57.31,41.69,95.77,62.66,25.33,78.83
42.09,66.00,79.87,2.62,55.66,27.13,51.78,7.27
52.98,62.22,35.89,25.31,82.98,3.23,84.31,88.92
95.55,15.27,69.92,83.24,27.98,75.48,96.26,22.52
35.30,92.45,83.51,26.48,27.54,42.43,81.94,6.70
18.45,93.26,93.33,40.03,29.36,25.34,25.16,18.59
17.08,29.78,29.89,69.48,24.15,48.74,20.33,79.09
19.43,20.87,12.54,39.50,20.12,8.94,21.90,9.53
82.76,29.33,51.47,0.52,14.84,98.19,58.95,45.34
25.57,50.38,5.48,56.61,55.30,43.90,35.77,60.76
85.11,45.54,65.77,63.69,21.76,91.18,77.91,44.24
94.78,61.31,46.57,87.49,74.82,47.66,12.63,55.07
49.36,58.39,51.78,41.85,17.76,76.10,15.09,98.89
82.43,40.48,36.31,5.87,24.65,17.11,96.04,11.27
19.52,34.78,99.77,34.36,38.75,6.20,17.10,2.29
61.98,52.69,57.19,72.41,6.56,34.48,61.55,33.61
