5000.75,3641.38,8850.96,6783.47
6238.10,5036.37,9767.89,9587.15
4409.39,2259.24,7871.40,9427.34
8498.35,8973.33,6208.11,6290.44
3420.15,3107.55,4127.43,9034.14
9228.45,6256.33,4785.20,1211.31
2364.94,1557.25,889.89,4512.55
5895.29,1120.01,3555.64,9570.53
266.45,7367.63,9103.36,1594.79
8805.60,7711.51,4432.55,2257.53
3358.28,8604.92,9085.62,7522.29
1928.34,3994.95,8680.51,6054.67
6621.72,8059.02,6804.22,7237.58
7132.03,1922.05,176.59,4884.33
9343.34,2796.46,4014.38,1398.95
8064.44,9382.73,2329.32,2345.68
