0.20,0.76,0.24,0.64,0.12,0.37,0.03,0.79,0.16,0.60,0.49,0.00,0.42,0.78,0.77,0.50
0.74,0.85,0.39,0.64,0.80,0.37,0.20,0.64,0.50,0.88,0.41,0.94,0.89,0.59,0.54,0.31
0.58,0.15,0.85,0.19,0.98,0.90,0.63,0.93,0.88,0.14,0.13,0.64,0.98,0.44,0.38,0.88
0.93,0.91,0.07,0.86,0.65,0.17,0.59,0.19,0.29,0.44,0.53,0.35,0.00,0.83,0.52,0.27
0.97,0.83,0.26,0.60,0.85,0.13,0.20,0.89,0.59,0.20,0.30,0.75,0.71,0.59,0.15,0.73
0.26,0.99,0.33,0.48,0.42,0.69,0.35,0.78,0.66,0.09,0.73,0.82,0.04,0.26,0.34,0.97
0.83,0.80,0.49,0.84,0.63,0.55,0.96,0.93,0.31,0.78,0.01,0.49,0.39,0.90,0.72,0.32
0.41,0.98,0.21,0.83,0.29,0.85,0.95,0.91,0.95,0.09,0.99,0.43,0.99,0.50,0.74,0.73
0.43,0.23,0.56,0.06,0.31,0.77,0.08,0.74,0.82,0.74,0.69,0.25,0.89,0.32,0.88,0.08
0.72,0.16,0.34,0.29,0.67,0.97,0.33,0.65,0.09,0.67,0.83,0.10,0.49,0.46,0.80,0.17
0.15,0.49,0.25,0.35,0.94,0.35,0.56,0.02,0.00,0.91,0.19,0.19,0.64,0.20,0.39,0.98
0.68,0.90,0.91,0.57,0.50,0.68,0.72,0.99,0.12,0.04,0.88,0.59,0.90,0.39,0.79,0.62
0.68,0.74,0.69,0.10,0.15,0.39,0.49,0.20,0.10,0.28,0.09,0.72,0.43,0.84,0.37,0.96
0.52,0.44,0.76,0.04,0.29,0.78,0.04,0.88,0.11,0.03,0.85,0.36,0.65,0.80,0.21,0.78
0.47,0.53,0.67,0.89,0.80,0.31,0.49,0.46,0.81,0.07,0.24,0.90,0.71,0.74,0.37,0.81
0.05,0.26,0.82,0.53,0.23,0.01,0.41,0.19,0.73,0.33,0.06,0.69,0.03,0.63,0.54,0.50
0.96,0.15,0.20,0.82,0.68,0.81,0.54,0.40,0.65,0.15,0.99,0.42,0.17,0.85,0.35,0.49
0.77,0.49,0.10,0.26,0.89,0.62,0.60,0.98,0.66,0.81,0.29,0.40,0.62,0.85,0.87,0.42
0.75,0.94,0.39,0.53,0.65,0.79,0.26,0.61,0.57,0.23,0.41,0.96,0.93,0.87,0.51,0.28
0.72,0.41,0.32,0.69,0.65,0.12,0.91,0.92,0.32,0.99,0.09,0.06,0.78,0.70,0.44,0.50
0.66,0.15,0.51,0.30,0.46,0.46,0.68,0.16,0.21,0.29,0.36,0.03,0.41,0.01,0.37,0.04
0.67,0.33,0.03,0.10,0.74,0.90,0.44,0.95,0.60,0.42,0.99,0.46,0.15,0.30,0.12,0.88
0.17,0.57,0.27,0.31,0.01,0.82,0.22,0.92,0.61,0.90,0.95,0.93,0.87,0.22,0.41,0.70
0.20,0.26,0.89,0.25,0.55,0.34,0.51,0.44,0.84,0.28,0.69,0.22,0.92,0.39,0.25,0.32
