0.24,0.12,0.43,0.84
0.75,0.70,0.54,0.29
0.01,0.07,0.43,0.48
0.09,0.83,0.60,0.03
0.81,0.23,0.57,0.54
0.70,0.84,0.73,0.51
0.19,0.80,0.44,0.67
0.74,0.20,0.82,0.32
0.76,0.98,0.07,0.36
0.39,0.58,0.76,0.88
0.60,0.76,0.27,0.18
0.32,0.15,0.88,0.75
0.46,0.68,0.96,0.37
0.83,0.23,0.53,0.47
0.05,0.06,0.29,0.93
0.23,0.11,0.86,0.70
0.28,0.83,0.44,0.25
0.23,0.12,0.53,0.20
0.83,0.07,0.08,0.04
0.57,0.99,0.01,0.47
0.67,0.88,0.90,0.59
0.82,0.41,0.35,0.26
0.30,0.33,0.49,0.93
0.71,0.98,0.93,0.02
0.55,0.28,0.04,0.35
0.27,0.48,0.06,0.88
0.90,0.82,0.23,0.51
0.92,0.19,0.55,0.00
0.55,0.03,0.12,0.67
0.75,0.01,0.99,0.13
0.88,0.63,0.00,0.39
0.62,0.74,0.19,0.69
