0.46,0.08,0.64,0.84,0.32,0.69,0.72,0.71
0.90,0.66,0.95,0.83,0.97,0.60,0.31,0.70
0.55,0.33,0.50,0.62,0.22,0.87,0.47,0.48
0.46,0.33,0.28,0.65,0.27,0.58,0.01,0.53
0.94,0.98,0.05,0.47,0.87,0.41,0.56,0.03
0.28,0.14,0.93,0.91,0.68,0.92,0.80,0.27
0.09,0.33,0.66,0.06,0.03,0.50,0.20,0.88
0.83,0.54,0.60,0.45,0.79,0.29,0.33,0.46
0.12,0.38,0.09,0.61,0.09,0.09,0.94,0.68
0.38,0.08,0.53,0.41,0.98,0.11,0.08,0.10
0.99,0.43,0.57,0.84,0.70,0.18,0.30,0.05
0.72,0.17,0.40,0.88,0.22,0.93,0.05,0.15
0.96,0.13,0.35,0.38,0.68,0.43,0.44,0.78
0.17,0.67,0.70,0.34,0.96,0.83,0.43,0.73
0.52,0.75,0.15,0.73,0.53,0.76,0.79,0.80
0.56,0.06,0.69,0.69,0.73,0.18,0.25,0.09
