0.30,0.34,0.75,0.69,0.76,0.17,0.86,0.05
0.69,0.64,0.47,0.74,0.57,0.84,0.99,0.25
0.92,0.91,0.40,0.33,0.09,0.48,0.13,0.93
0.84,0.08,0.47,0.92,0.62,0.64,0.08,0.17
0.18,0.35,0.19,0.64,0.21,0.54,0.85,0.35
0.91,0.86,0.06,0.02,0.85,0.02,0.45,0.52
0.09,0.87,0.62,0.01,0.16,0.05,0.34,0.36
0.25,0.68,0.33,0.90,0.57,0.80,0.11,0.96
0.18,0.74,0.31,0.82,0.83,0.28,0.58,0.47
0.10,0.00,0.07,0.04,0.24,0.19,0.64,0.00
0.68,0.19,0.19,0.07,0.23,0.39,0.03,0.35
0.98,0.88,0.47,0.13,0.08,0.54,0.57,0.84
1.00,0.43,0.61,0.67,0.27,0.92,0.25,0.84
0.99,0.97,0.83,0.60,0.64,0.97,0.07,0.84
0.57,0.79,0.47,0.11,0.18,0.02,0.24,0.26
0.26,0.37,0.90,0.32,0.68,0.18,0.47,0.75
0.94,0.82,0.23,0.47,0.33,0.54,0.23,0.85
0.71,0.89,0.59,0.83,0.73,0.10,0.96,0.32
0.12,0.89,0.61,0.95,0.36,0.75,0.30,0.11
0.73,0.39,0.86,0.45,0.26,0.65,0.20,0.63
0.48,0.84,0.73,0.08,0.13,0.58,0.03,0.37
0.14,0.14,0.15,0.17,0.60,0.05,0.50,0.40
0.84,0.80,0.37,0.65,0.13,0.71,0.64,0.77
0.85,0.67,0.03,0.70,0.72,0.02,0.98,0.15
0.51,0.74,0.61,0.61,0.50,0.44,0.02,0.97
0.85,0.30,0.48,0.18,0.58,0.91,0.95,0.41
0.54,0.12,0.34,0.19,0.80,0.22,0.22,0.51
0.01,0.75,0.15,0.10,0.94,0.43,0.77,0.18
0.38,0.05,0.75,0.24,0.17,0.71,0.51,0.47
0.13,0.59,0.49,0.01,0.97,0.42,0.50,0.04
0.10,0.71,0.28,0.33,0.42,0.34,0.38,0.34
0.72,0.11,0.08,0.13,0.64,0.78,0.10,0.14
0.80,0.76,0.66,0.27,0.93,0.26,0.25,0.68
0.82,0.77,0.44,0.90,0.89,0.08,0.58,0.54
0.39,0.05,0.85,0.86,0.10,0.02,0.75,0.90
0.04,0.41,0.75,0.82,0.69,0.99,0.04,0.48
0.84,0.94,0.33,0.07,0.47,0.82,0.69,0.85
0.59,0.81,0.88,0.35,0.01,0.49,0.58,0.19
0.21,0.54,0.10,0.07,0.77,0.16,0.39,0.35
0.13,0.89,0.97,0.52,0.22,0.94,0.44,0.28
0.15,0.84,0.64,0.86,0.66,0.88,0.38,0.05
0.71,0.93,0.48,0.21,0.37,0.04,0.11,0.16
0.54,0.32,0.94,0.98,0.41,0.86,0.20,0.80
0.73,0.73,0.74,0.83,0.32,0.21,0.19,0.18
0.10,0.61,0.76,0.98,0.48,0.60,0.55,0.79
0.38,0.31,0.84,0.39,0.17,0.27,0.89,0.87
0.00,0.22,0.97,0.49,0.60,0.43,0.12,0.20
0.09,0.36,0.35,0.39,0.51,0.19,0.15,0.28
0.45,0.85,0.67,0.21,0.49,0.52,0.47,0.85
0.72,0.02,0.69,0.58,0.72,0.67,0.55,0.15
0.83,0.23,0.93,0.72,0.59,0.39,0.46,0.46
0.38,0.35,0.53,0.70,0.01,0.34,0.72,0.64
1.00,0.35,0.38,0.19,0.22,0.10,0.09,0.53
0.17,0.45,0.96,0.03,0.95,0.86,0.18,0.05
0.71,0.47,0.03,0.40,0.88,0.30,0.71,0.24
0.02,0.60,0.80,0.04,0.76,0.35,0.31,0.83
0.24,0.46,0.62,0.54,0.08,0.08,0.19,0.96
1.00,0.34,0.58,0.36,0.56,0.17,0.10,0.79
0.26,0.13,0.92,0.16,0.16,0.50,0.56,0.52
0.01,0.90,0.50,0.68,0.56,0.88,0.97,0.40
0.45,0.56,0.91,0.86,0.27,0.64,0.87,0.11
0.75,0.89,0.34,0.07,0.23,0.67,0.69,0.89
0.26,0.94,0.41,0.85,0.95,0.56,0.88,0.65
0.95,0.03,0.39,0.14,0.99,0.32,0.34,0.20
