5913.89,7310.23
9591.27,5215.99
682.13,6024.09
4620.99,6824.27
8052.74,8236.43
9569.37,6765.92
9048.11,8772.99
1517.65,2382.90
3987.04,141.39
5415.08,6636.14
9361.62,8096.97
1178.36,1555.43
2025.32,8083.25
9110.65,2939.65
5874.74,314.78
6775.31,3218.39
8547.90,7076.40
7080.08,9682.96
8873.23,1261.46
9374.82,8221.45
3566.32,1610.50
3571.16,8638.93
2175.67,6379.23
376.09,602.62
6211.25,1541.09
6705.98,2779.98
2787.73,3039.79
6566.76,1625.79
9029.37,7292.68
1648.77,6017.95
3934.50,2986.27
6933.62,8742.33
9264.23,5801.17
6692.95,9084.73
2422.34,8846.26
2155.67,2392.42
6578.30,4622.79
8189.33,8049.07
656.62,8391.27
6160.33,7808.11
2631.87,114.98
898.96,8513.97
5496.60,3906.39
9308.34,2758.00
1400.81,1259.25
4891.82,5895.88
5021.46,574.63
1987.10,7211.59
835.14,8340.54
6068.61,3237.17
5340.55,5215.27
1083.91,8162.32
8534.75,6467.72
1129.12,2358.40
3914.88,1341.73
1865.15,3887.34
9396.28,9147.62
9153.76,8903.98
8540.66,226.89
7097.62,5786.80
4468.14,1088.48
5894.22,3971.29
5990.15,9123.23
9220.76,791.12
