0.38,0.29
0.62,0.11
0.48,0.95
0.05,0.44
0.75,0.41
0.94,0.81
0.28,0.56
0.33,0.77
0.32,0.44
0.57,0.62
0.12,0.75
0.56,0.48
0.84,0.40
0.14,0.40
0.69,0.53
0.17,0.82
0.24,0.59
0.18,0.82
0.32,0.36
0.58,0.61
0.09,0.14
0.14,0.54
0.35,0.03
0.61,0.93
0.20,0.30
0.93,0.47
0.11,0.72
0.33,0.32
0.97,0.05
0.34,0.15
0.01,0.07
0.08,0.32
0.51,0.04
0.96,0.77
0.08,0.21
0.95,0.06
0.80,0.03
0.97,0.30
0.69,0.21
0.01,0.24
0.72,0.17
0.24,0.32
0.78,0.71
0.14,0.47
0.25,0.11
0.33,0.14
0.08,0.01
0.54,0.76
0.94,0.73
0.74,0.30
0.12,0.09
0.90,0.66
0.34,0.28
0.14,0.01
0.44,0.15
0.27,0.26
0.90,0.01
0.61,0.89
0.39,0.72
0.54,0.25
0.27,0.87
0.83,0.24
0.36,0.06
0.55,0.56
