40.92,26.24
62.20,73.78
38.32,50.46
56.98,99.49
26.18,22.59
31.66,28.43
69.43,86.71
58.20,54.06
16.67,13.31
17.07,14.56
90.62,27.14
42.91,89.54
89.13,53.35
99.42,73.92
44.22,36.17
59.36,68.70
49.52,74.23
50.12,40.33
56.24,46.54
32.26,99.78
92.05,71.52
2.83,64.31
96.81,46.95
46.42,58.60
51.95,26.87
91.40,87.31
82.50,96.35
64.48,29.18
96.09,39.30
1.76,49.07
85.97,45.36
78.73,30.60
78.25,60.45
73.50,51.81
63.01,95.47
91.25,3.77
36.75,25.54
33.09,98.16
67.18,37.03
51.69,32.61
70.48,84.30
82.10,67.74
56.14,45.65
46.53,96.22
73.51,26.83
87.31,85.73
66.74,92.19
57.04,46.11
68.24,51.99
91.67,92.29
99.80,33.96
71.98,31.55
64.26,87.36
72.00,26.93
34.30,26.81
13.20,46.17
93.91,21.27
49.67,38.05
37.72,79.06
97.66,46.80
12.94,13.71
67.06,87.45
85.30,82.22
4.00,51.57
